SampleID	Subject	Vendor	Time	Group
sample316	HR1	Hunan	5	Resistant starch
sample317	HR2	Hunan	5	Resistant starch
sample318	HR3	Hunan	5	Resistant starch
sample319	HR4	Hunan	5	Resistant starch
sample320	HR5	Hunan	5	Resistant starch
sample321	HI1	Hunan	5	Inulin
sample322	HI2	Hunan	5	Inulin
sample324	HI4	Hunan	5	Inulin
sample325	HI5	Hunan	5	Inulin
sample326	HC1	Hunan	8	Control
sample327	HC2	Hunan	8	Control
sample328	HC3	Hunan	8	Control
sample329	HC4	Hunan	8	Control
sample330	HC5	Hunan	8	Control
sample331	HR1	Hunan	8	Resistant starch
sample332	HR2	Hunan	8	Resistant starch
sample333	HR3	Hunan	8	Resistant starch
sample334	HR4	Hunan	8	Resistant starch
sample335	HR5	Hunan	8	Resistant starch
sample336	HI1	Hunan	8	Inulin
sample337	HI2	Hunan	8	Inulin
sample339	HI4	Hunan	8	Inulin
sample340	HI5	Hunan	8	Inulin
sample341	HC1	Hunan	13	Control
sample342	HC2	Hunan	13	Control
sample343	HC3	Hunan	13	Control
sample344	HC4	Hunan	13	Control
sample345	HC5	Hunan	13	Control
sample346	HR1	Hunan	13	Resistant starch
sample347	HR2	Hunan	13	Resistant starch
sample348	HR3	Hunan	13	Resistant starch
sample349	HR4	Hunan	13	Resistant starch
sample350	HR5	Hunan	13	Resistant starch
sample351	HI1	Hunan	13	Inulin
sample352	HI2	Hunan	13	Inulin
sample354	HI4	Hunan	13	Inulin
sample355	HI5	Hunan	13	Inulin
sample356	HC1	Hunan	19	Control
sample357	HC2	Hunan	19	Control
sample358	HC3	Hunan	19	Control
sample359	HC4	Hunan	19	Control
sample360	HC5	Hunan	19	Control
sample361	HR1	Hunan	19	Resistant starch
sample362	HR2	Hunan	19	Resistant starch
sample363	HR3	Hunan	19	Resistant starch
sample364	HR4	Hunan	19	Resistant starch
sample365	HR5	Hunan	19	Resistant starch
sample366	HI1	Hunan	19	Inulin
sample367	HI2	Hunan	19	Inulin
sample369	HI4	Hunan	19	Inulin
sample370	HI5	Hunan	19	Inulin
sample371	HC1	Hunan	25	Control
sample372	HC2	Hunan	25	Control
sample373	HC3	Hunan	25	Control
sample374	HC4	Hunan	25	Control
sample375	HC5	Hunan	25	Control
sample376	HR1	Hunan	25	Resistant starch
sample377	HR2	Hunan	25	Resistant starch
sample378	HR3	Hunan	25	Resistant starch
sample379	HR4	Hunan	25	Resistant starch
sample380	HR5	Hunan	25	Resistant starch
sample381	HI1	Hunan	25	Inulin
sample382	HI2	Hunan	25	Inulin
sample384	HI4	Hunan	25	Inulin
sample385	HI5	Hunan	25	Inulin
sample386	HC1	Hunan	31	Control
sample387	HC2	Hunan	31	Control
sample388	HC3	Hunan	31	Control
sample389	HC4	Hunan	31	Control
sample390	HC5	Hunan	31	Control
sample391	HR1	Hunan	31	Resistant starch
sample392	HR2	Hunan	31	Resistant starch
sample393	HR3	Hunan	31	Resistant starch
sample394	HR4	Hunan	31	Resistant starch
sample395	HR5	Hunan	31	Resistant starch
sample396	HI1	Hunan	31	Inulin
sample397	HI2	Hunan	31	Inulin
sample399	HI4	Hunan	31	Inulin
sample400	HI5	Hunan	31	Inulin
sample1	SC1	Shanghai	0	Control
sample2	SC2	Shanghai	0	Control
sample3	SC3	Shanghai	0	Control
sample4	SC4	Shanghai	0	Control
sample5	SC5	Shanghai	0	Control
sample6	SR1	Shanghai	0	Resistant starch
sample7	SR2	Shanghai	0	Resistant starch
sample8	SR3	Shanghai	0	Resistant starch
sample9	SR4	Shanghai	0	Resistant starch
sample10	SR5	Shanghai	0	Resistant starch
sample11	SC1	Shanghai	1	Control
sample12	SC2	Shanghai	1	Control
sample13	SC3	Shanghai	1	Control
sample14	SC4	Shanghai	1	Control
sample15	SC5	Shanghai	1	Control
sample16	SR1	Shanghai	1	Resistant starch
sample17	SR2	Shanghai	1	Resistant starch
sample18	SR3	Shanghai	1	Resistant starch
sample19	SR4	Shanghai	1	Resistant starch
sample20	SR5	Shanghai	1	Resistant starch
sample21	SC1	Shanghai	3	Control
sample22	SC2	Shanghai	3	Control
sample23	SC3	Shanghai	3	Control
sample24	SC4	Shanghai	3	Control
sample25	SC5	Shanghai	3	Control
sample26	SR1	Shanghai	3	Resistant starch
sample27	SR2	Shanghai	3	Resistant starch
sample28	SR3	Shanghai	3	Resistant starch
sample29	SR4	Shanghai	3	Resistant starch
sample30	SR5	Shanghai	3	Resistant starch
sample31	SI1	Shanghai	0	Inulin
sample32	SI2	Shanghai	0	Inulin
sample33	SI3	Shanghai	0	Inulin
sample34	SI4	Shanghai	0	Inulin
sample35	SI5	Shanghai	0	Inulin
sample36	SC1	Shanghai	5	Control
sample37	SC2	Shanghai	5	Control
sample38	SC3	Shanghai	5	Control
sample39	SC4	Shanghai	5	Control
sample40	SC5	Shanghai	5	Control
sample41	SR1	Shanghai	5	Resistant starch
sample42	SR2	Shanghai	5	Resistant starch
sample43	SR3	Shanghai	5	Resistant starch
sample44	SR4	Shanghai	5	Resistant starch
sample45	SR5	Shanghai	5	Resistant starch
sample46	SI1	Shanghai	2	Inulin
sample47	SI2	Shanghai	2	Inulin
sample48	SI3	Shanghai	2	Inulin
sample49	SI4	Shanghai	2	Inulin
sample50	SI5	Shanghai	2	Inulin
sample51	SC1	Shanghai	8	Control
sample52	SC2	Shanghai	8	Control
sample53	SC3	Shanghai	8	Control
sample54	SC4	Shanghai	8	Control
sample55	SC5	Shanghai	8	Control
sample56	SR1	Shanghai	8	Resistant starch
sample57	SR2	Shanghai	8	Resistant starch
sample58	SR3	Shanghai	8	Resistant starch
sample59	SR4	Shanghai	8	Resistant starch
sample60	SR5	Shanghai	8	Resistant starch
sample61	SI1	Shanghai	5	Inulin
sample62	SI2	Shanghai	5	Inulin
sample63	SI3	Shanghai	5	Inulin
sample64	SI4	Shanghai	5	Inulin
sample65	SI5	Shanghai	5	Inulin
sample66	SC1	Shanghai	13	Control
sample67	SC2	Shanghai	13	Control
sample68	SC3	Shanghai	13	Control
sample69	SC4	Shanghai	13	Control
sample70	SC5	Shanghai	13	Control
sample71	SR1	Shanghai	13	Resistant starch
sample72	SR2	Shanghai	13	Resistant starch
sample73	SR3	Shanghai	13	Resistant starch
sample74	SR4	Shanghai	13	Resistant starch
sample75	SR5	Shanghai	13	Resistant starch
sample76	SI1	Shanghai	10	Inulin
sample77	SI2	Shanghai	10	Inulin
sample78	SI3	Shanghai	10	Inulin
sample79	SI4	Shanghai	10	Inulin
sample80	SI5	Shanghai	10	Inulin
sample81	SI1	Shanghai	13	Inulin
sample82	SI2	Shanghai	13	Inulin
sample83	SI3	Shanghai	13	Inulin
sample84	SI4	Shanghai	13	Inulin
sample85	SI5	Shanghai	13	Inulin
sample86	SC1	Shanghai	19	Control
sample87	SC2	Shanghai	19	Control
sample88	SC3	Shanghai	19	Control
sample89	SC4	Shanghai	19	Control
sample90	SC5	Shanghai	19	Control
sample91	SR1	Shanghai	19	Resistant starch
sample92	SR2	Shanghai	19	Resistant starch
sample93	SR3	Shanghai	19	Resistant starch
sample94	SR4	Shanghai	19	Resistant starch
sample95	SR5	Shanghai	19	Resistant starch
sample96	SI1	Shanghai	19	Inulin
sample97	SI2	Shanghai	19	Inulin
sample98	SI3	Shanghai	19	Inulin
sample99	SI4	Shanghai	19	Inulin
sample100	SI5	Shanghai	19	Inulin
sample101	SC1	Shanghai	25	Control
sample102	SC2	Shanghai	25	Control
sample103	SC3	Shanghai	25	Control
sample104	SC4	Shanghai	25	Control
sample105	SC5	Shanghai	25	Control
sample106	SR1	Shanghai	25	Resistant starch
sample107	SR2	Shanghai	25	Resistant starch
sample108	SR3	Shanghai	25	Resistant starch
sample109	SR4	Shanghai	25	Resistant starch
sample110	SR5	Shanghai	25	Resistant starch
sample111	SI1	Shanghai	25	Inulin
sample112	SI2	Shanghai	25	Inulin
sample113	SI3	Shanghai	25	Inulin
