Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample482	60	GR2	Guangdong	7	13	Resistant starch	88884896.69	4465178.129	2228154.045	124180.5598	191592.8637	498496.2472	1869804.429	4910454.136	39028.17594	6856540.909
sample497	61	GR2	Guangdong	7	19	Resistant starch	95477221.38	6848177.548	10481190.28	652501.4375	701902.1773	4275222.352	3373658.852	31807901.31	113210.0286	8112013.139
sample512	62	GR2	Guangdong	7	25	Resistant starch	546874.4967	1014596.106	2823119.661	98341.46652	921051.784	40802114.32	11568314.46	107935.7559	18972707.32	25192205.44
sample527	63	GR2	Guangdong	7	31	Resistant starch	154606506.8	8127128.08	1044389.155	1947644.64	7981651.836	883713.9002	2427499.116	11694552.99	301808.9241	8730745.928
sample408	64	GR3	Guangdong	8	0	Resistant starch	15048112.05	3898821.034	976464.6542	71255.52882	121398.3084	4000865.988	1555305.864	7630499.469	241916.9188	3298867.075
sample423	65	GR3	Guangdong	8	1	Resistant starch	37171467.84	12873091.86	2085374.469	532412.4837	281149.2118	3385966.295	864478.4819	8373597.587	46489.23974	1995716.649
sample438	66	GR3	Guangdong	8	3	Resistant starch	34183812.85	195799.9898	5200638.753	42980.48556	124165.8472	1208229.205	10014453.14	3357253.483	148043.8947	13061292
sample453	67	GR3	Guangdong	8	5	Resistant starch	50380002.14	8275034.956	5265317.032	285159.6237	2109640.628	1589325.675	4522009.956	45364706.58	58113.09866	5957268.347
sample468	68	GR3	Guangdong	8	8	Resistant starch	18882291.32	3217681.83	3902456.87	127063.8131	134672.4247	2316822.221	4976792.823	11788782.76	49455.97516	4201475.305
sample483	69	GR3	Guangdong	8	13	Resistant starch	41896239.81	4262434.246	9076633.778	119454.3405	170649.0579	1867659.133	3845292.104	17844203.15	56883.01929	7646973.893
sample498	70	GR3	Guangdong	8	19	Resistant starch	81769059.58	19797219.43	8941878.277	167195.785	2879482.963	3513175.63	1899013.854	18220212.27	72245.09227	3791835.271
sample513	71	GR3	Guangdong	8	25	Resistant starch	901361.939	1830642.168	4056128.725	83754.87043	5396206.652	53491443.92	14916343.59	87743.1976	21696499.77	26299029.32
sample528	72	GR3	Guangdong	8	31	Resistant starch	70682102.08	4763468.551	26479704.33	12189298.68	3979151.222	2719926.151	13542066.18	3367527.616	5008117.993	19471217.37
