Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample370	115	HI5	Hunan	13	19	Inulin	80068013.07	12200633.07	15562095.35	40837496.94	7638981.255	5778920.372	638134.4097	8710301.796	2786986.047	4639283.738
sample385	116	HI5	Hunan	13	25	Inulin	34335948.4	1716309.278	8731894.299	32212528.22	2346013.193	6131070.684	834723.7954	4284915.483	849368.0725	3895377.712
sample400	117	HI5	Hunan	13	31	Inulin	65829486.42	7276491.99	6466261.619	83180188.95	9521938.127	5744325.583	150619.7485	2981232.264	403383.9243	737517.3894
sample31	118	SI1	Shanghai	14	0	Inulin	28426.40154	2040090.12	16526.97764	19171.29406	2443348.374	24054685.41	1560807.768	1983.237317	20892082.97	3963830.317
sample46	119	SI1	Shanghai	14	2	Inulin	101785.5137	16133003.92	7633.913528	36897.24872	8145385.734	46681381.22	18531325.09	29263.33519	39588203.24	4375504.77
sample61	120	SI1	Shanghai	14	5	Inulin	54155.56034	9162535.344	0	13172.97414	6974357.973	24174603.04	24960590.49	13904.80603	11599535.56	2061570.452
sample76	121	SI1	Shanghai	14	10	Inulin	94139.00993	318540.1383	24082.07231	42690.94636	7229000.251	33370089.74	25315731.19	15324.9551	12356292.37	9193878.423
sample81	122	SI1	Shanghai	14	13	Inulin	84903.56531	9975495.086	28301.18844	8086.053839	20027807.68	30767434.86	8153437.621	0	9560410.989	8118398.054
sample96	123	SI1	Shanghai	14	19	Inulin	159734880.6	22683605.77	0	76052041.66	51516300.63	43824887.98	3933261.808	23572.6307	5950405.491	7068421.69
sample111	124	SI1	Shanghai	14	25	Inulin	72581199.11	14382198.75	0	49743186.05	22254560.17	16886113.19	24130794.97	0	978091.5767	7013341.862
sample126	125	SI1	Shanghai	14	31	Inulin	23832827.53	8323768.399	22337.69138	14529923.66	4504767.762	11126404.08	7917967.006	0	946373.525	5678985.739
sample32	126	SI2	Shanghai	15	0	Inulin	295.5420268	10703.32318	60.45177821	28.54667304	10750.34123	27008.51113	7323.061244	45.33883366	28214.18826	5974.650747
sample47	127	SI2	Shanghai	15	2	Inulin	27471.42978	8682934.054	15697.95987	0	11594415.05	14191446.29	3993659.104	5886.734952	9603717.513	2912462.118
sample62	128	SI2	Shanghai	15	5	Inulin	76505.22615	10367874.91	0	4722.544824	11281215.08	33040812.61	7982045.262	5667.053789	10421711.92	10743789.48
sample77	129	SI2	Shanghai	15	10	Inulin	69782.27087	2056602.021	15141.43613	14483.11282	11348177.22	23791146.1	7078950.553	15141.43613	12171081.36	1341662.906
sample82	130	SI2	Shanghai	15	13	Inulin	107403.9514	15555085.39	37855.49107	10564.32309	16905558.02	32254639.11	6963649.636	10564.32309	15513708.46	2812751.023
sample97	131	SI2	Shanghai	15	19	Inulin	59485855.03	21093316.07	50508.67994	51345044.26	25004767.67	32591468.51	6289816.202	19312.14233	5527729.355	7222741.232
sample112	132	SI2	Shanghai	15	25	Inulin	121143842	12946257.79	36011.84365	38597494.02	23317668.76	34495745.03	19208717.4	21607.10619	583391.8671	8135075.48
sample127	133	SI2	Shanghai	15	31	Inulin	47718999.12	16975663.06	698258.0055	32457242.07	5965756.529	16932168.87	1512892.345	48196.25964	758209.4504	1169640.935
sample33	134	SI3	Shanghai	16	0	Inulin	17986.06728	1850101.085	4188.536216	6652.381049	2794985.579	14679094.75	323256.4421	3449.382766	6610495.687	608816.0583
sample48	135	SI3	Shanghai	16	2	Inulin	122959.8028	18693533.27	37343.34751	30967.65403	24334200.37	51886304.33	2766140.155	21859.52049	18298240.28	10110028.23
sample63	136	SI3	Shanghai	16	5	Inulin	107189.6395	10947324.49	8388.754397	13049.17351	20546855.77	37745666.45	24813003.42	23302.09555	11022823.28	2904373.189
sample78	137	SI3	Shanghai	16	10	Inulin	100800.1083	1712257.839	9408.010106	29568.03176	16110545.31	46603250.06	18978644.39	9408.010106	16462673.68	3546819.81
sample83	138	SI3	Shanghai	16	13	Inulin	46308.57052	22218290.82	0	8419.740094	29469090.33	37991270.59	6410228.791	12629.61014	13381773.59	2016527.752
sample98	139	SI3	Shanghai	16	19	Inulin	126072139.8	27003936.1	32262.76715	62632785.29	38385523.4	42748166.47	2760258.967	17923.75953	5624475.74	2394614.273
sample113	140	SI3	Shanghai	16	25	Inulin	55072416.07	13941899.42	17538.98601	36484279.8	14747098.33	12674309.07	7849493.465	6377.813094	438474.6502	3471124.776
sample128	141	SI3	Shanghai	16	31	Inulin	53186945.01	18926750.34	532170.2419	20547555.8	7203965.427	12290818.81	9049207.897	45118.78138	80982.42812	2380883.387
sample34	142	SI4	Shanghai	17	0	Inulin	135570.4347	23442112.13	57865.42947	71091.81334	6823160.783	54492701.58	5758436.881	16532.97985	41970622.64	8165638.747
sample49	143	SI4	Shanghai	17	2	Inulin	72561.51837	13833970.51	11703.4707	5149.52711	12608851.2	15909698.08	9616975.948	7958.360079	11133745.75	1331386.827
sample64	144	SI4	Shanghai	17	5	Inulin	64011.3991	16524617.11	4465.911565	11164.77891	15628457.52	23467620.96	4357985.369	9676.141725	9516857.546	2177131.888
sample79	145	SI4	Shanghai	17	10	Inulin	66315.53807	2941476.703	17216.53392	14028.2869	12867764.98	24853660.84	18394910.02	9564.741068	9451877.124	1827503.193
sample84	146	SI4	Shanghai	17	13	Inulin	59680.01047	11128264.02	47332.4221	23666.21105	20345738.74	36595165.04	13724344.48	4115.862791	13653345.84	1311931.265
sample99	147	SI4	Shanghai	17	19	Inulin	148731596.4	12725140.72	0	22569832.61	24332212.49	36086149.25	625360.6013	9475.160626	3373157.183	8598708.268
sample114	148	SI4	Shanghai	17	25	Inulin	154349679.6	8986963.939	36300.48908	26699009.72	21176149.59	16120010.04	640444.343	20743.13662	492649.4946	20400874.86
sample129	149	SI4	Shanghai	17	31	Inulin	53654488.36	16449163.88	362109.6002	11027099.49	5150961.165	7450069.738	419587.3146	28738.85716	582440.8385	11137265.11
sample35	150	SI5	Shanghai	18	0	Inulin	29877.11143	3259592.857	0	12548.3868	3731651.218	17867110.18	956665.1081	10158.21789	13426176.34	3515938.473
sample50	151	SI5	Shanghai	18	2	Inulin	42967.12766	12260065.65	3021.126164	5035.210273	13784055.96	13068720.42	1162126.531	4028.168218	8933805.747	1543124.108
sample65	152	SI5	Shanghai	18	5	Inulin	59089.64295	15967482.17	7303.214297	0	18123258.24	22137370.39	1788623.574	7967.142869	9577833.586	1634592.145
sample80	153	SI5	Shanghai	18	10	Inulin	99894.90453	2012549.343	29302.50533	0	16269550.12	38984319.48	18172881.03	18647.04885	14944277.72	1987242.634
sample85	154	SI5	Shanghai	18	13	Inulin	158747.3596	11100436.12	29157.6783	37796.99038	22361779.42	35657680.73	15196549.96	4319.656044	12322898.78	2073434.901
sample100	155	SI5	Shanghai	18	19	Inulin	46813257.44	16518777.98	22978.65134	38651527.72	16543192.8	13669425.22	5603918.595	10053.15996	2954192.863	5012218.323
sample115	156	SI5	Shanghai	18	25	Inulin	56329909.78	7499284.701	9745.659131	29561020.56	17376510.23	13352771.22	13684123.63	8527.451739	233895.8191	4253980.211
sample130	157	SI5	Shanghai	18	31	Inulin	20720122.08	13106798.97	244897.0576	19870077.52	4349097.091	6904266.017	1166350.846	21972.07245	201410.6642	538315.7751
