Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample434	75	GC4	Guangdong	9	3	Control	66681386.15	25443116.4	2122492.336	7320068.239	8204191.975	586438.9764	4670673.878	1574752.378	50606.40913	6403199.179	4111026.53	375082.7971	3679383.629	12883796.4	3503749.621
sample449	76	GC4	Guangdong	9	5	Control	8313124.19	327853.8311	513325.427	58076.96437	28726.24044	1376361.607	1475029.998	6207990.353	20607.9551	1459417.911	138010.8508	219193.7042	1014785.668	3236697.917	33097.62486
sample464	77	GC4	Guangdong	9	8	Control	18313194.36	4214657.685	846508.3329	33383.42721	45306.07979	2354723.884	1238763.603	10144985.08	53651.93659	3347880.843	16691.71361	1142190.117	1982737.123	5089780.385	40537.01876
sample479	78	GC4	Guangdong	9	13	Control	14334489.59	87010.43233	318143.8715	11499.17608	15332.23477	788076.8673	1022276.753	789610.0908	19931.9052	1776622.704	8432.729125	196252.6051	642803.9428	1408649.07	64012.08018
sample494	79	GC4	Guangdong	9	19	Control	41229123.5	339450.7595	9776889.063	367738.3228	38895.39953	7259295.93	657685.8465	143771540.4	300555.36	3733958.355	0	661221.792	1980129.43	1630070.835	67182.96282
sample509	80	GC4	Guangdong	9	25	Control	361247.4423	392389.4632	2532884.365	41522.69451	1885130.331	31800155.59	7065086.472	110035.1405	9838802.465	12274108.5	58493019.76	66436.31122	7743982.527	33218.15561	7345364.66
sample524	81	GC4	Guangdong	9	31	Control	158254147.4	11464151.62	907648.5199	2308636.341	14927106.13	1034575.622	1750636.064	12199370.87	323304.8818	6875617.152	426283.4737	541236.3206	1379434.162	931597.0297	2260739.321
sample405	82	GC5	Guangdong	10	0	Control	10585943.16	359770.3159	627466.7122	184147.8394	59677.54056	1143251.17	3064867.976	5665103.672	158571.7506	6238008.061	156866.678	387904.0136	3322333.937	3118577.762	220806.9001
sample420	83	GC5	Guangdong	10	1	Control	11843389.61	505576.1234	1419147.568	1194020.206	47637.87181	2680782.818	1044191.416	2083004.362	162890.7875	1846351.709	41491.04964	431814.2573	897436.0366	7989332.113	23818.9359
sample435	84	GC5	Guangdong	10	3	Control	35830570.82	3988993.216	1301810.355	87960.15913	1495322.705	303462.549	3546993.417	2539849.595	26388.04774	4349629.869	15404022.87	420009.7598	3412854.174	6337529.465	2078058.759
