Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample522	63	GC2	Guangdong	7	31	Control	86600323.79	7442123.038	4347144.886	649709.1541	5941885.536	750118.7506	22763446.18	100409.5965	850528.3472	17931972.65
sample403	64	GC3	Guangdong	8	0	Control	11684888.5	159088.1324	661968.4153	82240.47522	86285.08875	3013237.084	3374555.893	6914940.941	318176.2648	7984067.118
sample418	65	GC3	Guangdong	8	1	Control	27714791.66	1718930.218	1227346.295	718551.5555	140913.5535	5340731.247	2442860.153	12087371	329156.8503	4715763.502
sample433	66	GC3	Guangdong	8	3	Control	33259391.97	19743079.95	1612103.043	189752.9794	2419749.128	792497.7375	1906299.89	3894719.766	24715.72421	1992406.284
sample448	67	GC3	Guangdong	8	5	Control	4385109.08	85601.06457	645898.9417	50582.44725	77819.14961	2836508.003	4163324.504	2202281.934	35018.61732	11311013.4
sample463	68	GC3	Guangdong	8	8	Control	6989518.556	109366.5777	654542.3968	43083.80333	84510.53731	1531132.088	6956377.169	3108662.118	56340.35821	8900119.527
sample478	69	GC3	Guangdong	8	13	Control	26913034.52	423708.5477	1039388.606	45250.42743	37023.07699	2688972.369	1501491.456	773370.9415	53477.77787	2812382.626
sample493	70	GC3	Guangdong	8	19	Control	33596395.36	119737.1257	8322651.289	77368.60428	71842.27541	3868430.214	1464477.153	24715584.85	99473.91979	7595017.987
sample508	71	GC3	Guangdong	8	25	Control	45594852.62	7040006.003	793575.9065	5282558.931	180512.9744	1277214.442	8283161.393	20833921.97	967277.0706	11787837.82
sample523	72	GC3	Guangdong	8	31	Control	93357082.82	9972875.96	1172287.322	5785533.115	12066547.38	832830.022	1857527.214	21202376.46	364758.4653	6881916.942
sample404	73	GC4	Guangdong	9	0	Control	10603456.04	2003232.991	760520.8295	4050829.696	36969.76255	476909.9369	474797.379	6663007.49	81861.61707	1246409.137
sample419	74	GC4	Guangdong	9	1	Control	20373494.47	369405.1027	1058693.609	124473.4585	69598.06282	1404007.075	1837656.543	7410855.266	338621.3441	4711253.483
sample434	75	GC4	Guangdong	9	3	Control	66681386.15	25443116.4	2122492.336	7320068.239	8204191.975	586438.9764	4670673.878	1574752.378	50606.40913	6403199.179
sample449	76	GC4	Guangdong	9	5	Control	8313124.19	327853.8311	513325.427	58076.96437	28726.24044	1376361.607	1475029.998	6207990.353	20607.9551	1459417.911
sample464	77	GC4	Guangdong	9	8	Control	18313194.36	4214657.685	846508.3329	33383.42721	45306.07979	2354723.884	1238763.603	10144985.08	53651.93659	3347880.843
sample479	78	GC4	Guangdong	9	13	Control	14334489.59	87010.43233	318143.8715	11499.17608	15332.23477	788076.8673	1022276.753	789610.0908	19931.9052	1776622.704
sample494	79	GC4	Guangdong	9	19	Control	41229123.5	339450.7595	9776889.063	367738.3228	38895.39953	7259295.93	657685.8465	143771540.4	300555.36	3733958.355
sample509	80	GC4	Guangdong	9	25	Control	361247.4423	392389.4632	2532884.365	41522.69451	1885130.331	31800155.59	7065086.472	110035.1405	9838802.465	12274108.5
sample524	81	GC4	Guangdong	9	31	Control	158254147.4	11464151.62	907648.5199	2308636.341	14927106.13	1034575.622	1750636.064	12199370.87	323304.8818	6875617.152
sample405	82	GC5	Guangdong	10	0	Control	10585943.16	359770.3159	627466.7122	184147.8394	59677.54056	1143251.17	3064867.976	5665103.672	158571.7506	6238008.061
sample420	83	GC5	Guangdong	10	1	Control	11843389.61	505576.1234	1419147.568	1194020.206	47637.87181	2680782.818	1044191.416	2083004.362	162890.7875	1846351.709
sample435	84	GC5	Guangdong	10	3	Control	35830570.82	3988993.216	1301810.355	87960.15913	1495322.705	303462.549	3546993.417	2539849.595	26388.04774	4349629.869
sample450	85	GC5	Guangdong	10	5	Control	10356584.25	77146.53714	676724.01	48724.12872	96094.80942	1578120.391	5593800.667	7354636.541	40603.4406	10118377.4
sample465	86	GC5	Guangdong	10	8	Control	12936798.31	181684.6675	1454539.823	44624.30429	47811.75459	3843002.586	1331291.745	22146404.73	101998.4098	4208496.888
sample480	87	GC5	Guangdong	10	13	Control	16688922.18	206338.3086	779888.8614	52458.89202	62950.67042	1587755.798	16293731.86	7620528.381	115409.5624	9222273.217
sample495	88	GC5	Guangdong	10	19	Control	31413086.31	307648.2744	4248476.17	102549.4248	76912.0686	8670920.115	1684740.55	22939940.08	128186.781	8322984.567
sample510	89	GC5	Guangdong	10	25	Control	367356.1831	1073204.849	1747565.843	53791.4411	1985035.375	20634921.6	2790595.005	86591.10031	9851705.64	11756709.85
sample525	90	GC5	Guangdong	10	31	Control	66208790.08	10425069.68	737158.7259	1112996.763	12807527.97	835554.092	2503436.198	8442645.014	285507.8654	10205696.41
sample266	91	HC1	Hunan	11	0	Control	3443888.985	247355.0472	19861196.83	30686867.15	5283503.807	194350.3942	327922.1197	1613461.636	5434743.75	729344.0247
sample281	92	HC1	Hunan	11	1	Control	3082491.809	247286.251	15613951.55	35233711.39	3060739.778	222099.6884	519759.0645	820852.972	4067629.86	868936.4096
sample296	93	HC1	Hunan	11	3	Control	20054459.66	3330896.799	20130014.68	21291403.19	9273838.397	481393.3805	7179885.128	10057451.84	12663020.49	7056838.389
sample311	94	HC1	Hunan	11	5	Control	19473479.61	4161702.937	29290100.07	23880360.79	5887441.404	811460.892	7107005.434	11387343.01	16543995.07	8505312.313
sample326	95	HC1	Hunan	11	8	Control	7645372.282	2781851.508	25412496.69	23854247.97	3018677.855	772259.8265	2019888.48	10320823.55	10235016.9	2198366.306
sample341	96	HC1	Hunan	11	13	Control	5851124.94	2062396.667	7728620.1	1485346.229	2191652.46	1215004.452	1216757.073	1110723.508	3910097.272	2394080.176
sample356	97	HC1	Hunan	11	19	Control	7443791.812	3042460.809	10904868.1	2782945.292	6311834.683	1439724.275	6619601.828	5828014.297	5087286.59	10563194.41
sample371	98	HC1	Hunan	11	25	Control	10097214.78	2117489.476	5382703.301	267783.576	1200943.167	343810.4588	317905.0024	2227024.503	2850726.523	487698.374
sample386	99	HC1	Hunan	11	31	Control	18357162.64	2365984.898	12306890.81	12920133.22	4740668.269	1299455.349	2122910.877	1551227.843	1110021.918	1850358.695
sample267	100	HC2	Hunan	12	0	Control	9778994.636	688696.7388	13966071.19	1107903.449	7425947.445	3134069.217	5796530.885	8229426.973	30442392.08	12351626.29
sample282	101	HC2	Hunan	12	1	Control	4409621.472	107968.086	6740963.976	2933488.628	2288667.372	1232031.084	1166738.131	2087240.745	11001222.48	2037310.84
sample297	102	HC2	Hunan	12	3	Control	13664383.09	7941581.404	20620322.63	8896829.03	14187598.27	4009869.014	5783590.175	5132284.975	33485771.34	7613757.786
sample312	103	HC2	Hunan	12	5	Control	9578150.149	5961606.885	13874135.19	1494112.265	5326691.629	1438041.827	865793.5311	5076023.788	14019258.68	1700253.582
sample327	104	HC2	Hunan	12	8	Control	10826521.43	7412292.359	15453329.26	33135463.91	12417182.45	773919.7743	369726.8557	6124514.921	13434453.52	1274199.898
sample342	105	HC2	Hunan	12	13	Control	6060422.787	2068900.454	15538115.87	953707.3498	1251333.561	1004397.945	4835882.826	5325409.15	6438429.8	7828076.273
sample357	106	HC2	Hunan	12	19	Control	17313270.14	1148458.339	41950755.14	472193.6363	2451831.941	1930482.5	5556095.468	8398194.704	9071480.268	6975655.516
sample372	107	HC2	Hunan	12	25	Control	13168629.89	2233512.821	9008726.296	152157.3591	1321130.132	588978.1168	1937058.63	2152100.212	2927485.13	3655145.415
sample387	108	HC2	Hunan	12	31	Control	13232727.55	7196043.173	7067077.036	4245859.255	3167354.874	648839.9964	1307035.049	1893730.741	1419963.947	1520864.914
sample268	109	HC3	Hunan	13	0	Control	15343758.64	725323.0857	19683998.39	31710323.11	10099371.9	1489084.952	1686292.612	8468230.588	16099164.25	5526828.213
sample283	110	HC3	Hunan	13	1	Control	7092375.682	350625.5487	3701047.458	18621463.17	3743252.385	364910.2932	1502495.407	6085950.496	5412619.581	2585538.768
sample298	111	HC3	Hunan	13	3	Control	9965730.985	8204625.463	24842681.44	17361449.71	14414718.03	2378185.803	1246871.954	2427875.789	11427541.02	1251494.278
sample313	112	HC3	Hunan	13	5	Control	5861275.507	1052463.802	14244215.06	3953276.3	2372129.206	1124371.267	2004420.58	4236820.508	8865046.42	1759281.495
sample328	113	HC3	Hunan	13	8	Control	6376357.287	5305492.952	8760545.805	5200258.643	2494474.075	824195.1127	3195755.514	2077746.209	5616144.634	2744510.794
sample343	114	HC3	Hunan	13	13	Control	5113618.002	1065498.133	14683775.35	2846911.375	2231490.648	795365.7966	1557662.929	5053922.621	3603196.022	2260264.68
sample358	115	HC3	Hunan	13	19	Control	14804315.58	4019871.373	24676048.06	818157.421	2471544.569	875940.6096	6554452.148	3084834.321	3967341.202	9982045.837
sample373	116	HC3	Hunan	13	25	Control	22790922.36	1340047.972	10470090.88	270506.5782	1756211.938	577873.3934	3866757.768	6007029.596	3581388.191	3816818.092
sample388	117	HC3	Hunan	13	31	Control	25018888.22	1656944.689	7212429.576	17824037.23	2674549.621	522800.2301	733092.228	3712988.434	1138701.871	451183.7602
