Row.names	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
3-D29PM	106	3	2	29.5	H2	158984400	102031100	36084730	11047030	12239040	2893270	10420250	2238507	111925.4	10806390
3-D30AM	107	3	2	30	H2	173904700	53157800	37884850	14892330	11718730	13075020	13477080	2133603	21443.25	2358757
3-D30PM	108	3	2	30.5	H2	51266826.77	15833426.9	10985747.79	3145324	2953509.088	2848882.8	3389452	446840.904	10898.56	1425531
3-D31AM	109	3	2	31	H2	147105840.8	58204218.6	33555150.89	19982610	9832136.09	14296027	12313684.16	2365790.01	470264.1	1533784
3-D31PM	110	3	2	31.5	H2	110117700	47507130	25957410	12641260	6804686	6953626	6371830	1126357	27926.21	2690225
3-D32	111	3	2	32	H2	72563718.39	23606595.3	21644677.46	8068690	4402204.44	5940252	6724413	711498.03	0	1426024
3-D33	112	3	2	33	H2	90974038.83	29089199.29	13469036.72	15963206.44	5411344.823	14789633.59	1297381.287	1276747.173	0	2584446
3-D35AM	113	3	2	35	H2	51201355.09	10215059.18	9682081.812	7939395	2370760.677	4339023.1	2987778.061	1090284.495	57499.79	800574
3-D35PM	114	3	2	35.5	H2	169306400	10251050	28034480	20474740	9260951	17794370	7340930	1876259	0	1564461
3-D36AM	115	3	2	36	H2	147285431.1	27191900	3199993.44	41112140	10339675.25	8131306	6131980	1013063.19	80401.83	5772851.81
3-D36PM	116	3	2	36.5	H2	86045393.19	27911861.05	1973593.41	24257160	6205065.64	2041931.1	8550415.53	743514.47	297952.5	3397751.18
3-D37AM	117	3	2	37	H2	32635865.86	3344656.124	106079.202	1586270	1681811.97	0	2909099	39340.628	2882404	216373.469
3-D38	118	3	2	38	H2	32795076.7	9367689	591729.374	156094.1	4661399.716	340754.43	2763784.223	279541.139	8513762	657023.669
3-D39	119	3	2	39	H2	40241576.2	4630111.9	758821.161	130312.8	8367080.712	216519.6	5054129.435	149358.471	8725942.623	446070.606
3-D42AM	120	3	2	42	H2	54467262.26	427932	5362587.054	595383.6	7152872.96	2017688.9	5631336.738	235672.675	24904810	1424372.475
3-D42PM	121	3	2	42.5	H2	44848442.8	123198.14	3603005.012	555472.3	6661344.38	1726935.2	3250701.483	123198.132	16707400	345819.349
3-D43AM	122	3	2	43	H2	14115146.98	31291.415	1529877.9	538756.5	2943432.966	1886327.9	1154380.496	55780.343	6322906	170062.061
3-D43PM	123	3	2	43.5	H2	13341072.28	28308.12	352609.97	721608.9	2403210.523	1998950.9	1464076.337	78468.132	3184415.634	459882.873
3-D44AM	124	3	2	44	H2	20629367.23	62852.42	283266.366	349562.76	2859354.025	1853715.7	1526539	36161.668	2817166	259158.584
3-D44PM	125	3	2	44.5	H2	76371383.58	497392.6	1849002.87	1270514	12726762.41	4854983.7	4519784.44	105425.6	13086290	789340.38
3-D45AM	126	3	2	45	H2	22750270	1071029	176625.8	45095.94	3883262	76412.57	1677318	39458.94	3414139	242390.7
3-D45PM	127	3	2	45.5	H2	22047951.94	3310144.499	267609.606	25028.239	3651555.727	42997.227	1677533.244	71234.211	4881790	527518.2
3-D46	128	3	2	46	H2	10108990	555787.9	91211.86	18132.48	2336617	9890.443	214430.3	44781.73	1181084	142861.9
3-D47	129	3	2	47	H2	20284480.56	6162823.78	1400500.019	1787898.492	4547101.736	404242.23	1155335	129132.967	475982.9	568309.823
3-D50AM	130	3	2	50	H2	6835702.224	2135734.889	234518.8504	898843.6717	1027000.822	251301.36	141888.3	27462.2476	15910.67	103310.3606
3-D50PM	131	3	2	50.5	H2	44390118.07	5179565.9	2056998.066	7405538	5631312.728	881077.9	1612148.446	172422.295	124144.1	418986.172
3-D51AM	132	3	2	51	H2	38686439.81	441128.05	4047226.976	3263363	4880286.778	75434.537	1549688	54116.077	88553.58	219744.111
3-D51PM	133	3	2	51.5	H2	9876787.773	372331.36	615693.321	1010014.136	1721075.333	30883.495	611740.1794	54849.0831	58308.0359	261397.923
3-D52AM	134	3	2	52	H2	3779146.47	217133.277	335001.658	182147.652	1083861.502	35124.495	134528.196	51090.182	34291.51	90657.312
3-D52PM	135	3	2	52.5	H2	13237885.51	226279.86	693619.144	750189.1	4221851.94	81542.28	655396.154	342477.609	210481	459694.654
3-D53	136	3	2	53	H2	39740672.25	220350.29	3903705.369	3150007	14740932.28	1139311.161	1840426	1204414.565	1567492	1369676.98
3-D54	137	3	2	54	H2	8873273.662	67636.57	4613780.938	7365944	18909252.34	18389094	1713460.184	1447744.662	402598.6	819690.8
3-D57AM	138	3	2	57	H2	35382753.79	89470.01	15920399.08	14052050	39598372.36	32214466.95	8468073.73	5494511.17	473664.8	521031.2
3-D57PM	139	3	2	57.5	H2	55108593.06	23036.3	17951039.3	18112290	48767854.15	24758270.91	12906092.7	3927689.671	489521.4	892656.8
3-D58AM	140	3	2	58	H2	116430682.1	26158.32	31645023.46	31102240	31900076.64	29545823.27	12255168.14	2537356.91	52316.64	1320995
3-D58PM	141	3	2	58.5	H2	104301960.9	88663.88	35609633.28	20619892.98	19445096.4	22298963.96	13521239.82	2460422.58	44331.94	1479578
3-D59AM	142	3	2	59	H2	104214389.3	95709.05	43215826.25	28029990	12218855.03	19843675.82	6412506.29	1282501.26	0	3400861
3-D59PM	143	3	2	59.5	H2	35885178.14	12109.93	8643028.084	4072395	3570697.82	3608757.883	2892543	401357.586	3459.979	607226.3
3-D60AM	144	3	2	60	H2	82847506.49	53350.18	28430310.21	16863990	9661717.33	8872135.71	6295321.71	784247.64	0	1509810
3-D60PM	145	3	2	60.5	H2	61082688.46	127262.38	16038324.1	12592446.28	7446480.9	5172074.38	5762702.075	600417.407	0	1233466
3-D61	146	3	2	61	H2	48522214.03	18471463.13	15040765.92	12964440	6422056.58	11638054.08	3315964	517682.129	0	674385.9
3-D62	147	3	2	62	H2	133771972.3	75545687.44	38833496.27	18653760	13152066.11	21712542.22	12515676.59	1697040.74	34214.53	3216166
