Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample500	88	GR5	Guangdong	10	19	Resistant starch	103195930.7	20534117.85	10447560.88	177807.8953	3623509.381	1654152.238	5280355.678	21490508.8	105068.3018	8550943.327	137397.01	9512722.397	7556835.549	1673010.651	845934.5321
sample515	89	GR5	Guangdong	10	25	Resistant starch	30521991.15	4326597.334	7070876.686	58098.06847	105943.5366	2190638.935	8629271.934	1192719.17	471619.6146	13512927.22	20218127.83	211887.0732	14302377.44	17197028.27	4887072.818
sample530	90	GR5	Guangdong	10	31	Resistant starch	60921230.43	4490529.685	14451183.37	36648097	3541276.788	1954854.139	8868362.679	8911707.56	4200118.981	15933578.3	2379633.974	169045.0364	11560079.8	82355.27415	5630500.059
sample271	91	HR1	Hunan	11	0	Resistant starch	10203637.06	2862643.908	12334471.11	16450594.91	6158650.076	290270.9476	1394935.878	7362252.428	8453834.724	1197878.699	222404.7824	232216.7581	599348.1819	15535.62818	77678.1409
sample286	92	HR1	Hunan	11	1	Resistant starch	48523086.46	33137315.8	8644517.167	4972308.027	13868988.62	198943.0072	4701137.304	1828501.652	7305136.538	1515514.883	1259549.995	253430.5824	506861.1648	26610.21115	34213.12863
sample301	93	HR1	Hunan	11	3	Resistant starch	34599544.09	28747220.82	6129777.655	2558473.189	12271832.05	212387.6496	15883649.77	4729001.307	10075522.77	2822423.158	471426.9216	2522870.635	1287830.314	8593.719925	39285.5768
sample316	94	HR1	Hunan	11	5	Resistant starch	35251357.3	20759054.48	13648295.86	205726.6961	9964557.154	420245.1314	17856022.22	2975124.529	8149942.193	2459928.614	648830.3493	1373269.655	1979899.657	0	26375.21745
sample331	95	HR1	Hunan	11	8	Resistant starch	49101831.73	10418986.11	33110587.17	502640.4564	6077173.301	1109902.908	40318132.9	9802626.095	14817658.7	10289345.81	3275123.336	2133378.951	10434906.85	0	2726995.055
sample346	96	HR1	Hunan	11	13	Resistant starch	33289198.34	6311111.365	38014328.51	2854766.146	1894062.596	771114.9935	49551885.94	4805340.716	11309686.57	10015380.08	9071083.233	740124.5564	7525207.312	0	3195660.954
sample361	97	HR1	Hunan	11	19	Resistant starch	33161762.41	13624232.29	17256570.19	37555408.68	4979268.093	504079.5449	11321033.54	2773920.084	3481855.327	1346930.196	524094.468	247592.0118	825059.6081	2223.880345	111194.0173
sample376	98	HR1	Hunan	11	25	Resistant starch	39939413.13	8774366.05	19011126.44	14773352.13	10635183.62	465330.1569	8303502.237	4747876.779	1778315.789	720884.4485	385343.6759	534249.3261	476397.4687	5030.596291	324473.4607
sample391	99	HR1	Hunan	11	31	Resistant starch	64862183.08	4821366.239	32612882.36	9851889.66	3793172.993	1740695.981	30206597.4	8157130.07	2580256.816	3975941.184	563942.4934	3101195.029	2946770.568	62551.68038	122171.2507
